variable,variable_label,group,level,n,denominator,percent
tumor_stage,Tumor stage,Overall,0,11,1971,0.5580923389142567
tumor_stage,Tumor stage,Overall,1,500,1971,25.36783358701167
tumor_stage,Tumor stage,Overall,2,822,1971,41.70471841704718
tumor_stage,Tumor stage,Overall,3,118,1971,5.986808726534754
tumor_stage,Tumor stage,Overall,4,10,1971,0.5073566717402334
tumor_stage,Tumor stage,Overall,Missing,510,1971,25.875190258751903
tumor_stage,Tumor stage,Luminal A,1,222,700,31.714285714285715
tumor_stage,Tumor stage,Luminal A,2,286,700,40.857142857142854
tumor_stage,Tumor stage,Luminal A,3,26,700,3.7142857142857144
tumor_stage,Tumor stage,Luminal A,4,2,700,0.2857142857142857
tumor_stage,Tumor stage,Luminal A,Missing,164,700,23.428571428571427
tumor_stage,Tumor stage,Luminal B,0,2,475,0.42105263157894735
tumor_stage,Tumor stage,Luminal B,1,104,475,21.894736842105264
tumor_stage,Tumor stage,Luminal B,2,210,475,44.21052631578947
tumor_stage,Tumor stage,Luminal B,3,30,475,6.315789473684211
tumor_stage,Tumor stage,Luminal B,4,6,475,1.263157894736842
tumor_stage,Tumor stage,Luminal B,Missing,123,475,25.894736842105264
tumor_stage,Tumor stage,HER2-enriched,0,2,224,0.8928571428571429
tumor_stage,Tumor stage,HER2-enriched,1,34,224,15.178571428571429
tumor_stage,Tumor stage,HER2-enriched,2,90,224,40.17857142857143
tumor_stage,Tumor stage,HER2-enriched,3,22,224,9.821428571428571
tumor_stage,Tumor stage,HER2-enriched,Missing,76,224,33.92857142857143
tumor_stage,Tumor stage,Basal-like,0,3,209,1.4354066985645932
tumor_stage,Tumor stage,Basal-like,1,35,209,16.74641148325359
tumor_stage,Tumor stage,Basal-like,2,92,209,44.01913875598086
tumor_stage,Tumor stage,Basal-like,3,14,209,6.698564593301436
tumor_stage,Tumor stage,Basal-like,Missing,65,209,31.10047846889952
tumor_stage,Tumor stage,Normal-like,1,42,148,28.37837837837838
tumor_stage,Tumor stage,Normal-like,2,58,148,39.189189189189186
tumor_stage,Tumor stage,Normal-like,3,5,148,3.3783783783783785
tumor_stage,Tumor stage,Normal-like,4,2,148,1.3513513513513513
tumor_stage,Tumor stage,Normal-like,Missing,41,148,27.7027027027027
tumor_stage,Tumor stage,Claudin-low,0,4,215,1.8604651162790697
tumor_stage,Tumor stage,Claudin-low,1,63,215,29.302325581395348
tumor_stage,Tumor stage,Claudin-low,2,86,215,40
tumor_stage,Tumor stage,Claudin-low,3,21,215,9.767441860465116
tumor_stage,Tumor stage,Claudin-low,Missing,41,215,19.069767441860463
grade,Histologic grade,Overall,1,169,1971,8.574327752409944
grade,Histologic grade,Overall,2,767,1971,38.9142567224759
grade,Histologic grade,Overall,3,951,1971,48.24961948249619
grade,Histologic grade,Overall,Missing,84,1971,4.26179604261796
grade,Histologic grade,Luminal A,1,118,700,16.857142857142858
grade,Histologic grade,Luminal A,2,378,700,54
