variable,variable_label,group,n_total,n_observed,n_missing,mean,standard_deviation,median,first_quartile,third_quartile,minimum,maximum
age_at_diagnosis,Age at diagnosis (years),Overall,1971,1971,0,61.060837138508376,12.960787516782624,61.78,51.370000000000005,70.58,21.93,96.29
age_at_diagnosis,Age at diagnosis (years),Luminal A,700,700,0,62.857,12.467074226581854,63.370000000000005,53.1675,72.2475,26.36,90.23
age_at_diagnosis,Age at diagnosis (years),Luminal B,475,475,0,65.33313684210526,11.424736304752656,66.52,58.885000000000005,73.95500000000001,28.62,92.14
age_at_diagnosis,Age at diagnosis (years),HER2-enriched,224,224,0,58.823303571428575,13.182980629400317,59.055,50.42,68.6475,21.93,90.08
age_at_diagnosis,Age at diagnosis (years),Basal-like,209,209,0,54.69196172248804,13.922543302088442,54.22,43.51,65.44,26.72,96.29
age_at_diagnosis,Age at diagnosis (years),Normal-like,148,148,0,56.686216216216216,12.338230305930594,57.144999999999996,46.394999999999996,66.2425,31.87,83.92
age_at_diagnosis,Age at diagnosis (years),Claudin-low,215,215,0,57.30776744186046,12.33718202884896,58.7,49.035,66.61,31.02,89.08
npi,Nottingham Prognostic Index,Overall,1971,1971,0,4.015951050228311,1.1577235380861177,4.042,3.044,5.0405,1,6.36
npi,Nottingham Prognostic Index,Luminal A,700,700,0,3.6006929142857143,1.0965475584464395,3.08,3.03,4.06,1.02,6.3
npi,Nottingham Prognostic Index,Luminal B,475,475,0,4.1745104,1.0807515146558218,4.05,3.069,5.05,1,6.36
npi,Nottingham Prognostic Index,HER2-enriched,224,224,0,4.454809107142857,1.153679598818943,4.08,4.03,5.07,1.03,6.32
npi,Nottingham Prognostic Index,Basal-like,209,209,0,4.603027751196172,0.9174758021307157,5.022,4.044,5.07,1.04,6.198
npi,Nottingham Prognostic Index,Normal-like,148,148,0,3.7487472972972973,1.1224253771505512,4.022,3.034,4.1,1.036,6.24
npi,Nottingham Prognostic Index,Claudin-low,215,215,0,4.173662325581395,1.2332531466657282,4.044,3.1100000000000003,5.048,1,6.198
tumor_size,Tumor size,Overall,1971,1948,23,26.2935112936345,15.398371904525927,23,17,30,1,182
tumor_size,Tumor size,Luminal A,700,699,1,23.952103004291843,12.52328552104136,20,16,29,1,150
tumor_size,Tumor size,Luminal B,475,470,5,27.54514893617021,14.812061754932284,25,20,31,5,180
tumor_size,Tumor size,HER2-enriched,224,220,4,29.26645454545455,17.781646665835243,25,20,35,1,160
tumor_size,Tumor size,Basal-like,209,206,3,29.20582524271845,18.38890612135596,25,20,35,1,182
tumor_size,Tumor size,Normal-like,148,144,4,27.134027777777778,18.14577784482188,23,15,33,1,120
tumor_size,Tumor size,Claudin-low,215,209,6,24.73062200956938,16.225956179472668,20,15,28,2,100
lymph_nodes_examined_positive,Positive lymph nodes,Overall,1971,1897,74,2.003162888771744,4.084289973791559,0,0,2,0,45
lymph_nodes_examined_positive,Positive lymph nodes,Luminal A,700,679,21,1.5007363770250381,3.1747876689764447,0,0,2,0,26
lymph_nodes_examined_positive,Positive lymph nodes,Luminal B,475,461,14,2.2386117136659434,4.547276469037528,1,0,2,0,45
lymph_nodes_examined_positive,Positive lymph nodes,HER2-enriched,224,220,4,2.8363636363636364,5.428703138568927,1,0,3,0,41
lymph_nodes_examined_positive,Positive lymph nodes,Basal-like,209,199,10,2.190954773869346,3.8825846063179363,1,0,2,0,20
lymph_nodes_examined_positive,Positive lymph nodes,Normal-like,148,140,8,1.6785714285714288,3.4396500096820732,0,0,2,0,25
lymph_nodes_examined_positive,Positive lymph nodes,Claudin-low,215,198,17,2.2929292929292924,4.39832115006824,0,0,2,0,23
