endpoint,group,participants,total_observed_person_years,median_followup_years,lower_95_ci,upper_95_ci
Overall survival,Overall,1971,20581.13055555557,16.294444444444416,16.011111111111084,16.841666666666665
Overall survival,Luminal A,700,8182.302777777776,16.938888888888915,16.163888888888916,18.491666666666667
Overall survival,Luminal B,475,4598.913888888888,17.263888888888918,16.011111111111084,18.516666666666666
Overall survival,HER2-enriched,224,2062.280555555554,17.349999999999998,15.75277777777775,20.10277777777775
Overall survival,Basal-like,209,1911.6083333333324,15.549999999999999,14.80277777777775,17.033333333333335
Overall survival,Normal-like,148,1553.6055555555558,15.508333333333333,14.058333333333332,18.433333333333334
Overall survival,Claudin-low,215,2272.4194444444465,14.952777777777749,13.694444444444416,16.186111111111085
Relapse-free survival,Overall,1960,18273.219444444432,12.950000000000001,12.488888888888916,13.62777777777775
Relapse-free survival,Luminal A,697,7249.347222222229,13.144444444444417,12.305555555555584,14.238888888888916
Relapse-free survival,Luminal B,469,3955.469444444444,12.766666666666666,11.738888888888916,13.616666666666667
Relapse-free survival,HER2-enriched,224,1839.7416666666659,14.566666666666668,12.200000000000001,16.133333333333333
Relapse-free survival,Basal-like,209,1724.8055555555552,12.977777777777751,12.125,15.186111111111083
Relapse-free survival,Normal-like,146,1342.8527777777779,12.691666666666668,11.930555555555584,14.636111111111084
Relapse-free survival,Claudin-low,215,2161.0027777777786,13.15,11.577777777777749,15.047222222222251
