"interval","comparison","analysis","sensitivity_hazard_ratio","sensitivity_lower_95_ci","sensitivity_upper_95_ci","sensitivity_p_value","primary_hazard_ratio","primary_lower_95_ci","primary_upper_95_ci","percent_change","sensitivity_p_value_display"
"0 to 2 years","Luminal B vs Luminal A","Exclude recorded Stage 0 or IV",0.925,0.44,1.943,0.836783724339563,1.038,0.508,2.121,-10.9,"0.837"
"0 to 2 years","HER2-enriched vs Luminal A","Exclude recorded Stage 0 or IV",3.996,2.076,7.694,3.40066307186666e-05,3.926,2.043,7.546,1.8,"<0.001"
"0 to 2 years","Basal-like vs Luminal A","Exclude recorded Stage 0 or IV",7.35,3.922,13.774,4.8161118337096e-10,7.176,3.849,13.377,2.4,"<0.001"
"0 to 2 years","Normal-like vs Luminal A","Exclude recorded Stage 0 or IV",3.649,1.636,8.136,0.00155982955745823,3.917,1.796,8.543,-6.8,"0.002"
"0 to 2 years","Claudin-low vs Luminal A","Exclude recorded Stage 0 or IV",3.521,1.736,7.145,0.000488232651931435,3.402,1.679,6.89,3.5,"<0.001"
"2 to 5 years","Luminal B vs Luminal A","Exclude recorded Stage 0 or IV",1.841,1.34,2.53,0.000164680751857644,1.83,1.336,2.506,0.6,"<0.001"
"2 to 5 years","HER2-enriched vs Luminal A","Exclude recorded Stage 0 or IV",2.334,1.605,3.395,9.1439259482296e-06,2.287,1.575,3.319,2.1,"<0.001"
"2 to 5 years","Basal-like vs Luminal A","Exclude recorded Stage 0 or IV",2.102,1.399,3.158,0.000349822824299344,2.049,1.367,3.07,2.6,"<0.001"
"2 to 5 years","Normal-like vs Luminal A","Exclude recorded Stage 0 or IV",1.63,0.971,2.736,0.0646981851360937,1.672,1.007,2.776,-2.5,"0.065"
"2 to 5 years","Claudin-low vs Luminal A","Exclude recorded Stage 0 or IV",1.061,0.642,1.753,0.816547050295894,1.024,0.621,1.69,3.6,"0.817"
"5 to 10 years","Luminal B vs Luminal A","Exclude recorded Stage 0 or IV",1.391,1.061,1.824,0.0170177742452009,1.403,1.071,1.838,-0.8,"0.017"
"5 to 10 years","HER2-enriched vs Luminal A","Exclude recorded Stage 0 or IV",1.32,0.905,1.925,0.149422191366062,1.322,0.906,1.928,-0.1,"0.149"
"5 to 10 years","Basal-like vs Luminal A","Exclude recorded Stage 0 or IV",0.897,0.551,1.461,0.662407296416191,0.939,0.583,1.512,-4.4,"0.662"
"5 to 10 years","Normal-like vs Luminal A","Exclude recorded Stage 0 or IV",1.434,0.922,2.229,0.109602591073901,1.44,0.926,2.239,-0.5,"0.110"
"5 to 10 years","Claudin-low vs Luminal A","Exclude recorded Stage 0 or IV",1.054,0.684,1.622,0.812470077389982,1.035,0.673,1.594,1.8,"0.812"
"Beyond 10 years","Luminal B vs Luminal A","Exclude recorded Stage 0 or IV",0.95,0.733,1.232,0.70038551470421,0.941,0.726,1.22,1,"0.700"
"Beyond 10 years","HER2-enriched vs Luminal A","Exclude recorded Stage 0 or IV",0.817,0.576,1.159,0.257892420656092,0.811,0.572,1.15,0.8,"0.258"
"Beyond 10 years","Basal-like vs Luminal A","Exclude recorded Stage 0 or IV",0.429,0.246,0.747,0.00278231221864682,0.419,0.241,0.729,2.4,"0.003"
"Beyond 10 years","Normal-like vs Luminal A","Exclude recorded Stage 0 or IV",1.114,0.712,1.744,0.636843361310002,1.113,0.711,1.742,0.1,"0.637"
"Beyond 10 years","Claudin-low vs Luminal A","Exclude recorded Stage 0 or IV",0.906,0.598,1.373,0.641732351787079,0.911,0.605,1.371,-0.5,"0.642"
"0 to 2 years","Luminal B vs Luminal A","Exclude Normal-like",1.024,0.501,2.094,0.948318904777262,1.038,0.508,2.121,-1.4,"0.948"
"0 to 2 years","HER2-enriched vs Luminal A","Exclude Normal-like",3.784,1.964,7.293,7.00444465601964e-05,3.926,2.043,7.546,-3.6,"<0.001"
"0 to 2 years","Basal-like vs Luminal A","Exclude Normal-like",6.751,3.604,12.648,2.48922838096794e-09,7.176,3.849,13.377,-5.9,"<0.001"
