"interval","comparison","primary_hazard_ratio","primary_lower_95_ci","primary_upper_95_ci","sensitivity_hazard_ratio","sensitivity_lower_95_ci","sensitivity_upper_95_ci","sensitivity_p_value","percent_change","sensitivity_p_value_display"
"0 to 2 years","Luminal B vs Luminal A",1.038,0.508,2.121,1.008,0.492,2.064,0.98249,-2.9,"0.982"
"0 to 2 years","HER2-enriched vs Luminal A",3.926,2.043,7.546,3.918,2.032,7.557,4.6007e-05,-0.2,"<0.001"
"0 to 2 years","Basal-like vs Luminal A",7.176,3.849,13.377,7.716,4.125,14.434,1.61014e-10,7.5,"<0.001"
"0 to 2 years","Normal-like vs Luminal A",3.917,1.796,8.543,3.992,1.825,8.732,0.000528501,1.9,"<0.001"
"0 to 2 years","Claudin-low vs Luminal A",3.402,1.679,6.89,3.413,1.688,6.902,0.000634543,0.3,"<0.001"
"2 to 5 years","Luminal B vs Luminal A",1.83,1.336,2.506,1.745,1.271,2.396,0.000574232,-4.6,"<0.001"
"2 to 5 years","HER2-enriched vs Luminal A",2.287,1.575,3.319,2.197,1.51,3.196,3.92763e-05,-3.9,"<0.001"
"2 to 5 years","Basal-like vs Luminal A",2.049,1.367,3.07,1.971,1.312,2.959,0.00107246,-3.8,"0.001"
"2 to 5 years","Normal-like vs Luminal A",1.672,1.007,2.776,1.565,0.939,2.607,0.0855797,-6.4,"0.086"
"2 to 5 years","Claudin-low vs Luminal A",1.024,0.621,1.69,0.954,0.579,1.571,0.852113,-6.9,"0.852"
"5 to 10 years","Luminal B vs Luminal A",1.403,1.071,1.838,1.4,1.065,1.839,0.0158039,-0.2,"0.016"
"5 to 10 years","HER2-enriched vs Luminal A",1.322,0.906,1.928,1.304,0.892,1.905,0.170573,-1.4,"0.171"
"5 to 10 years","Basal-like vs Luminal A",0.939,0.583,1.512,0.935,0.579,1.509,0.782834,-0.4,"0.783"
"5 to 10 years","Normal-like vs Luminal A",1.44,0.926,2.239,1.404,0.898,2.196,0.13673,-2.5,"0.137"
"5 to 10 years","Claudin-low vs Luminal A",1.035,0.673,1.594,1.033,0.669,1.595,0.883013,-0.2,"0.883"
"Beyond 10 years","Luminal B vs Luminal A",0.941,0.726,1.22,0.973,0.746,1.27,0.841336,3.4,"0.841"
"Beyond 10 years","HER2-enriched vs Luminal A",0.811,0.572,1.15,0.748,0.519,1.077,0.118057,-7.8,"0.118"
"Beyond 10 years","Basal-like vs Luminal A",0.419,0.241,0.729,0.382,0.215,0.678,0.00102135,-8.9,"0.001"
"Beyond 10 years","Normal-like vs Luminal A",1.113,0.711,1.742,1.123,0.706,1.785,0.624664,0.9,"0.625"
"Beyond 10 years","Claudin-low vs Luminal A",0.911,0.605,1.371,0.829,0.546,1.258,0.3778,-9,"0.378"
