"interval","comparison","hazard_ratio","lower_95_ci","upper_95_ci","p_value","p_value_holm_20_contrasts","p_value_display","p_value_holm_20_contrasts_display"
"0 to 2 years","Basal-like vs Luminal A",7.176,3.849,13.377,5.59588e-10,1.11918e-08,"<0.001","<0.001"
"0 to 2 years","Claudin-low vs Luminal A",3.402,1.679,6.89,0.000675107,0.0094515,"<0.001","0.009"
"0 to 2 years","HER2-enriched vs Luminal A",3.926,2.043,7.546,4.07959e-05,0.000734326,"<0.001","<0.001"
"0 to 2 years","Luminal B vs Luminal A",1.038,0.508,2.121,0.917933,1,"0.918","1.000"
"0 to 2 years","Normal-like vs Luminal A",3.917,1.796,8.543,0.000600358,0.00900536,"<0.001","0.009"
"2 to 5 years","Basal-like vs Luminal A",2.049,1.367,3.07,0.000508186,0.00813098,"<0.001","0.008"
"2 to 5 years","Claudin-low vs Luminal A",1.024,0.621,1.69,0.924829,1,"0.925","1.000"
"2 to 5 years","HER2-enriched vs Luminal A",2.287,1.575,3.319,1.3636e-05,0.000259083,"<0.001","<0.001"
"2 to 5 years","Luminal B vs Luminal A",1.83,1.336,2.506,0.00016879,0.00286943,"<0.001","0.003"
"2 to 5 years","Normal-like vs Luminal A",1.672,1.007,2.776,0.0471332,0.518465,"0.047","0.518"
"5 to 10 years","Basal-like vs Luminal A",0.939,0.583,1.512,0.794355,1,"0.794","1.000"
"5 to 10 years","Claudin-low vs Luminal A",1.035,0.673,1.594,0.874172,1,"0.874","1.000"
"5 to 10 years","HER2-enriched vs Luminal A",1.322,0.906,1.928,0.147253,1,"0.147","1.000"
"5 to 10 years","Luminal B vs Luminal A",1.403,1.071,1.838,0.0141241,0.169489,"0.014","0.169"
"5 to 10 years","Normal-like vs Luminal A",1.44,0.926,2.239,0.105098,1,"0.105","1.000"
"Beyond 10 years","Basal-like vs Luminal A",0.419,0.241,0.729,0.00206503,0.0268454,"0.002","0.027"
"Beyond 10 years","Claudin-low vs Luminal A",0.911,0.605,1.371,0.653818,1,"0.654","1.000"
"Beyond 10 years","HER2-enriched vs Luminal A",0.811,0.572,1.15,0.239651,1,"0.240","1.000"
"Beyond 10 years","Luminal B vs Luminal A",0.941,0.726,1.22,0.646931,1,"0.647","1.000"
"Beyond 10 years","Normal-like vs Luminal A",1.113,0.711,1.742,0.639244,1,"0.639","1.000"
