molecular_subtype,time_years,n_risk,survival_probability,lower_95_ci,upper_95_ci
Luminal A,5,591,0.8749505308582518,0.847839689890713,0.8975250680851242
Luminal A,10,393,0.6899212511415417,0.6524289616232958,0.7242538885660883
Luminal B,5,345,0.7537324043936873,0.7118264931734719,0.7904593572702796
Luminal B,10,204,0.5097184590573793,0.46208578529536376,0.555294576401782
HER2-enriched,5,141,0.6503313446057357,0.5833374689034957,0.7092936968474056
HER2-enriched,10,86,0.4712364035403009,0.40271179234337073,0.5366520955529769
Basal-like,5,126,0.6156172845478896,0.5458746272986017,0.6778870287593333
Basal-like,10,87,0.5057581333163816,0.4347486929351035,0.5724188661597222
Normal-like,5,115,0.7882314542372225,0.7127109158717072,0.8460317930034482
Normal-like,10,74,0.6061826909598049,0.5202291308564158,0.6815113478582163
Claudin-low,5,164,0.816727930349176,0.7569443640889465,0.8631350551705481
Claudin-low,10,105,0.6683849508349551,0.5967200413371853,0.7302351292360859
