"analysis","interval","term","comparison","sensitivity_hazard_ratio","sensitivity_lower_95_ci","sensitivity_upper_95_ci","sensitivity_p_value","primary_hazard_ratio","primary_lower_95_ci","primary_upper_95_ci","percent_change","absolute_percent_change"
"Exclude three month-zero RFS events","0 to 2 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",1.67820495362254,1.0990067361219,2.56265205097965,0.0165268598437006,1.62502436064333,1.06734788652935,2.47408010641304,3.27260281551456,3.27260281551456
"Exclude three month-zero RFS events","0 to 2 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",2.54841320713221,1.62542656243486,3.99551110113359,4.55943919971605e-05,2.44246922727186,1.56228818078608,3.81853745009343,4.33757685367817,4.33757685367817
"Exclude three month-zero RFS events","0 to 2 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",3.49244276838527,2.25007723790721,5.42077235614859,2.47018919676697e-08,3.39472611816594,2.1963475802031,5.24696797593956,2.87848406080329,2.87848406080329
"Exclude three month-zero RFS events","0 to 2 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",1.83176475989636,0.987732810016759,3.39703419950305,0.0547576137231151,1.88174278483359,1.03210688684983,3.43080348885266,-2.65594348707144,2.65594348707144
"Exclude three month-zero RFS events","0 to 2 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",2.0044900598255,1.20771026870988,3.32694066121619,0.00714460907193564,1.93005435100319,1.16565261809058,3.19572893331493,3.85666386978276,3.85666386978276
"Exclude three month-zero RFS events","2 to 3.5 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",2.3192687031583,1.50633742883738,3.5709179195004,0.000133172176639061,2.3192687031583,1.50633742883738,3.5709179195004,0,0
"Exclude three month-zero RFS events","2 to 3.5 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",2.91704270925843,1.78076287084297,4.77836679265992,2.12260981295248e-05,2.91704270925843,1.78076287084297,4.77836679265992,0,0
"Exclude three month-zero RFS events","2 to 3.5 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",1.88014607400642,1.05594793538817,3.34765488063793,0.031959914667337,1.88014607400642,1.05594793538817,3.34765488063793,0,0
"Exclude three month-zero RFS events","2 to 3.5 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",1.27809944766365,0.609635259462088,2.67953366010929,0.515910443787882,1.27809944766365,0.609635259462088,2.67953366010929,0,0
"Exclude three month-zero RFS events","2 to 3.5 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.665028514506704,0.305364353577916,1.44831222087665,0.304311574900969,0.665028514506704,0.305364353577916,1.44831222087665,0,0
"Exclude three month-zero RFS events","3.5 to 5 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",1.48698618506188,0.858459466060384,2.57569285677765,0.156927735066798,1.48698618506188,0.858459466060384,2.57569285677765,0,0
"Exclude three month-zero RFS events","3.5 to 5 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.894815421558095,0.39894269644118,2.00704172754857,0.78742673759018,0.894815421558095,0.39894269644118,2.00704172754857,0,0
"Exclude three month-zero RFS events","3.5 to 5 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.665329259356923,0.264829765973105,1.67150026255503,0.385967612133413,0.665329259356923,0.264829765973105,1.67150026255503,0,0
"Exclude three month-zero RFS events","3.5 to 5 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",2.00446756162336,0.97953610005394,4.10182963688529,0.0569923182412144,2.00446756162336,0.97953610005394,4.10182963688529,0,0
"Exclude three month-zero RFS events","3.5 to 5 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.802170563683174,0.358694419123506,1.79394375527827,0.591406604555506,0.802170563683174,0.358694419123506,1.79394375527827,0,0
"Exclude three month-zero RFS events","5 to 10 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",1.6057911042098,1.11334248377839,2.31605737491339,0.0112598064825399,1.6057911042098,1.11334248377839,2.31605737491339,0,0
"Exclude three month-zero RFS events","5 to 10 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",1.45514148346894,0.891581452529691,2.374922370698,0.13340501534278,1.45514148346894,0.891581452529691,2.374922370698,0,0
"Exclude three month-zero RFS events","5 to 10 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.330421069778079,0.131451396911411,0.830558563229783,0.0185354767594544,0.330421069778079,0.131451396911411,0.830558563229783,0,0
"Exclude three month-zero RFS events","5 to 10 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",1.73960128049313,1.01764721050745,2.97373449644135,0.0429792618162584,1.73960128049313,1.01764721050745,2.97373449644135,0,0
"Exclude three month-zero RFS events","5 to 10 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.70857230978526,0.384709368368806,1.30507536201484,0.268932893317103,0.70857230978526,0.384709368368806,1.30507536201484,0,0
"Exclude three month-zero RFS events","Beyond 10 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",1.05099970227809,0.667044329637333,1.65596246772564,0.830205620581847,1.05099970227809,0.667044329637333,1.65596246772564,0,0
"Exclude three month-zero RFS events","Beyond 10 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.43822707626382,0.207688836897583,0.924666791145047,0.0303458296606803,0.43822707626382,0.207688836897583,0.924666791145047,0,0
"Exclude three month-zero RFS events","Beyond 10 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.200034948297931,0.0704568714063912,0.567921619876611,0.00250580721290728,0.200034948297931,0.0704568714063912,0.567921619876611,0,0
"Exclude three month-zero RFS events","Beyond 10 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",0.955974261303367,0.479622752338996,1.9054283472119,0.898194406881389,0.955974261303367,0.479622752338996,1.9054283472119,0,0
