"analysis","interval","term","comparison","chi_square","degrees_of_freedom","p_value","diagnostic_flag"
"Alternative RFS boundary diagnostics","2 to 3 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",0.953542625687921,1,0.328819188782601,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 3 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.190596393964714,1,0.662420706914957,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 3 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.172248258297533,1,0.67812139034374,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 3 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",0.530977528009688,1,0.466196176152006,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 3 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",1.21096776494588,1,0.271140543188327,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","3 to 5 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",0.992396851113795,1,0.319157267920374,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","3 to 5 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",1.65316046985688,1,0.198529319552691,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","3 to 5 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.098002736221983,1,0.754239722188344,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","3 to 5 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",0.794890364866769,1,0.37262547084059,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","3 to 5 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.00132100529863723,1,0.971006761228555,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 4 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",0.114090112537534,1,0.735534801442989,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 4 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",3.82165053629672,1,0.0505943755718359,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 4 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.984223252800261,1,0.321158372525726,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 4 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",2.06740427653071,1,0.150477442684045,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 4 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",3.32632448238608,1,0.0681790782063828,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","4 to 5 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",1.85326135758443,1,0.173404555126057,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","4 to 5 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.188001929678007,1,0.664584822876178,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","4 to 5 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",1.44533683922023,1,0.229277672474975,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","4 to 5 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",0.0310833493683597,1,0.860054565068725,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","4 to 5 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",1.44297743160046,1,0.229658134379088,"No evidence against proportional hazards"
