"analysis","interval","term","chi_square","degrees_of_freedom","p_value","diagnostic_flag"
"Alternative RFS boundary diagnostics","2 to 3 years","Age-at-diagnosis spline",7.77520258253197,3,0.0508933929107405,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 3 years","NPI spline",0.32533030522316,2,0.849875719439832,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 3 years","Molecular subtype",2.63053525149237,5,0.756720513382519,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 3 years","Global model",9.97374027280306,10,0.44280016465999,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","3 to 5 years","Age-at-diagnosis spline",3.63181004094846,3,0.304064855859952,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","3 to 5 years","NPI spline",0.882880376641093,2,0.64310955494259,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","3 to 5 years","Molecular subtype",3.93954903952396,5,0.558151896219709,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","3 to 5 years","Global model",8.21963641977004,10,0.607392732065307,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 4 years","Age-at-diagnosis spline",2.02866418025154,3,0.566478712833103,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 4 years","NPI spline",0.51392579816599,2,0.773396906967631,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 4 years","Molecular subtype",9.34560865987486,5,0.0960479770112811,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","2 to 4 years","Global model",12.7260856408,10,0.239392443916228,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","4 to 5 years","Age-at-diagnosis spline",0.868378403830555,3,0.833051332062118,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","4 to 5 years","NPI spline",0.262720597506694,2,0.876901770851776,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","4 to 5 years","Molecular subtype",4.25677790338035,5,0.51306913902194,"No evidence against proportional hazards"
"Alternative RFS boundary diagnostics","4 to 5 years","Global model",6.0422402082987,10,0.811702000909035,"No evidence against proportional hazards"
