"analysis","boundary_year","phase","interval","molecular_subtype","participants_at_risk","rfs_events","precision_flag"
"Alternative RFS boundary sensitivity",3,"Earlier portion","2 to 3 years","Luminal A",645,28,"10 or more events"
"Alternative RFS boundary sensitivity",3,"Earlier portion","2 to 3 years","Luminal B",404,35,"10 or more events"
"Alternative RFS boundary sensitivity",3,"Earlier portion","2 to 3 years","HER2-enriched",173,25,"10 or more events"
"Alternative RFS boundary sensitivity",3,"Earlier portion","2 to 3 years","Basal-like",148,17,"10 or more events"
"Alternative RFS boundary sensitivity",3,"Earlier portion","2 to 3 years","Normal-like",127,4,"Fewer than 10 events"
"Alternative RFS boundary sensitivity",3,"Earlier portion","2 to 3 years","Claudin-low",181,6,"Fewer than 10 events"
"Alternative RFS boundary sensitivity",3,"Later portion","3 to 5 years","Luminal A",603,36,"10 or more events"
"Alternative RFS boundary sensitivity",3,"Later portion","3 to 5 years","Luminal B",363,47,"10 or more events"
"Alternative RFS boundary sensitivity",3,"Later portion","3 to 5 years","HER2-enriched",147,16,"10 or more events"
"Alternative RFS boundary sensitivity",3,"Later portion","3 to 5 years","Basal-like",128,9,"Fewer than 10 events"
"Alternative RFS boundary sensitivity",3,"Later portion","3 to 5 years","Normal-like",120,16,"10 or more events"
"Alternative RFS boundary sensitivity",3,"Later portion","3 to 5 years","Claudin-low",172,10,"10 or more events"
"Alternative RFS boundary sensitivity",4,"Earlier portion","2 to 4 years","Luminal A",645,49,"10 or more events"
"Alternative RFS boundary sensitivity",4,"Earlier portion","2 to 4 years","Luminal B",404,68,"10 or more events"
"Alternative RFS boundary sensitivity",4,"Earlier portion","2 to 4 years","HER2-enriched",173,36,"10 or more events"
"Alternative RFS boundary sensitivity",4,"Earlier portion","2 to 4 years","Basal-like",148,23,"10 or more events"
"Alternative RFS boundary sensitivity",4,"Earlier portion","2 to 4 years","Normal-like",127,12,"10 or more events"
"Alternative RFS boundary sensitivity",4,"Earlier portion","2 to 4 years","Claudin-low",181,14,"10 or more events"
"Alternative RFS boundary sensitivity",4,"Later portion","4 to 5 years","Luminal A",570,15,"10 or more events"
"Alternative RFS boundary sensitivity",4,"Later portion","4 to 5 years","Luminal B",320,14,"10 or more events"
"Alternative RFS boundary sensitivity",4,"Later portion","4 to 5 years","HER2-enriched",134,5,"Fewer than 10 events"
"Alternative RFS boundary sensitivity",4,"Later portion","4 to 5 years","Basal-like",121,3,"Fewer than 10 events"
"Alternative RFS boundary sensitivity",4,"Later portion","4 to 5 years","Normal-like",111,8,"Fewer than 10 events"
"Alternative RFS boundary sensitivity",4,"Later portion","4 to 5 years","Claudin-low",162,2,"Fewer than 10 events"
