"analysis","interval","molecular_subtype","reference","comparison","hazard_ratio","lower_95_ci","upper_95_ci","p_value","multiplicity_family","holm_adjusted_p_value","holm_significant"
"Final five-interval RFS model","0 to 2 years","Luminal B","Luminal A","Luminal B vs Luminal A",1.62502436064333,1.06734788652935,2.47408010641304,0.0235822777266878,"Twenty-five interval-specific subtype comparisons",0.400898721353692,FALSE
"Final five-interval RFS model","0 to 2 years","HER2-enriched","Luminal A","HER2-enriched vs Luminal A",2.44246922727186,1.56228818078608,3.81853745009343,8.97211870505676e-05,"Twenty-five interval-specific subtype comparisons",0.00206358730216305,TRUE
"Final five-interval RFS model","0 to 2 years","Basal-like","Luminal A","Basal-like vs Luminal A",3.39472611816594,2.1963475802031,5.24696797593956,3.76524744742148e-08,"Twenty-five interval-specific subtype comparisons",9.41311861855371e-07,TRUE
"Final five-interval RFS model","0 to 2 years","Normal-like","Luminal A","Normal-like vs Luminal A",1.88174278483359,1.03210688684983,3.43080348885266,0.0391037371778631,"Twenty-five interval-specific subtype comparisons",0.50834858331222,FALSE
"Final five-interval RFS model","0 to 2 years","Claudin-low","Luminal A","Claudin-low vs Luminal A",1.93005435100319,1.16565261809058,3.19572893331493,0.0105965123951359,"Twenty-five interval-specific subtype comparisons",0.211930247902718,FALSE
"Final five-interval RFS model","2 to 3.5 years","Luminal B","Luminal A","Luminal B vs Luminal A",2.3192687031583,1.50633742883738,3.5709179195004,0.000133172176639061,"Twenty-five interval-specific subtype comparisons",0.00292978788605935,TRUE
"Final five-interval RFS model","2 to 3.5 years","HER2-enriched","Luminal A","HER2-enriched vs Luminal A",2.91704270925843,1.78076287084297,4.77836679265992,2.12260981295248e-05,"Twenty-five interval-specific subtype comparisons",0.000509426355108595,TRUE
"Final five-interval RFS model","2 to 3.5 years","Basal-like","Luminal A","Basal-like vs Luminal A",1.88014607400642,1.05594793538817,3.34765488063793,0.031959914667337,"Twenty-five interval-specific subtype comparisons",0.455187444910204,FALSE
"Final five-interval RFS model","2 to 3.5 years","Normal-like","Luminal A","Normal-like vs Luminal A",1.27809944766365,0.609635259462088,2.67953366010929,0.515910443787882,"Twenty-five interval-specific subtype comparisons",1,FALSE
"Final five-interval RFS model","2 to 3.5 years","Claudin-low","Luminal A","Claudin-low vs Luminal A",0.665028514506704,0.305364353577916,1.44831222087665,0.304311574900969,"Twenty-five interval-specific subtype comparisons",1,FALSE
"Final five-interval RFS model","3.5 to 5 years","Luminal B","Luminal A","Luminal B vs Luminal A",1.48698618506188,0.858459466060384,2.57569285677765,0.156927735066798,"Twenty-five interval-specific subtype comparisons",1,FALSE
"Final five-interval RFS model","3.5 to 5 years","HER2-enriched","Luminal A","HER2-enriched vs Luminal A",0.894815421558095,0.39894269644118,2.00704172754857,0.78742673759018,"Twenty-five interval-specific subtype comparisons",1,FALSE
"Final five-interval RFS model","3.5 to 5 years","Basal-like","Luminal A","Basal-like vs Luminal A",0.665329259356923,0.264829765973105,1.67150026255503,0.385967612133413,"Twenty-five interval-specific subtype comparisons",1,FALSE
"Final five-interval RFS model","3.5 to 5 years","Normal-like","Luminal A","Normal-like vs Luminal A",2.00446756162336,0.97953610005394,4.10182963688529,0.0569923182412144,"Twenty-five interval-specific subtype comparisons",0.626915500653358,FALSE
"Final five-interval RFS model","3.5 to 5 years","Claudin-low","Luminal A","Claudin-low vs Luminal A",0.802170563683174,0.358694419123506,1.79394375527827,0.591406604555506,"Twenty-five interval-specific subtype comparisons",1,FALSE
