"interval","term","comparison","chi_square","degrees_of_freedom","p_value","diagnostic_flag"
"0 to 2 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",4.73035758288882,1,0.0296347235421264,"Evidence against proportional hazards"
"0 to 2 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.00143641042233189,1,0.969767408608132,"No evidence against proportional hazards"
"0 to 2 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.604111197622727,1,0.437013703296912,"No evidence against proportional hazards"
"0 to 2 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",0.0633913946366464,1,0.801213839939206,"No evidence against proportional hazards"
"0 to 2 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",1.37934651939495,1,0.240212490203559,"No evidence against proportional hazards"
"2 to 5 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",0.0213342538400599,1,0.883872049714756,"No evidence against proportional hazards"
"2 to 5 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",5.097314345123,1,0.0239629177903795,"Evidence against proportional hazards"
"2 to 5 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",2.41970219501377,1,0.119817706754572,"No evidence against proportional hazards"
"2 to 5 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",6.69953071838284,1,0.00964382905037893,"Evidence against proportional hazards"
"2 to 5 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.739932552233905,1,0.389682484893985,"No evidence against proportional hazards"
"5 to 10 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",0.388520269402836,1,0.533078238156837,"No evidence against proportional hazards"
"5 to 10 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.144696394730113,1,0.703656090110128,"No evidence against proportional hazards"
"5 to 10 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.369179464572842,1,0.543451870273752,"No evidence against proportional hazards"
"5 to 10 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",0.60888433152132,1,0.435208188514512,"No evidence against proportional hazards"
"5 to 10 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",1.55440170287498,1,0.212486804935043,"No evidence against proportional hazards"
"Beyond 10 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",0.469281044927013,1,0.493318107535573,"No evidence against proportional hazards"
"Beyond 10 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",3.58801301678093,1,0.0581977894878059,"No evidence against proportional hazards"
"Beyond 10 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.839653984422534,1,0.359495750192129,"No evidence against proportional hazards"
"Beyond 10 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",0.267113152772931,1,0.605274900867367,"No evidence against proportional hazards"
"Beyond 10 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",1.86103377954391,1,0.172505534690672,"No evidence against proportional hazards"
