"interval","term","chi_square","degrees_of_freedom","p_value","diagnostic_flag"
"0 to 2 years","Age spline",2.57880765244994,3,0.46121695793438,"No evidence against proportional hazards"
"0 to 2 years","NPI spline",1.86052212104243,2,0.394450721418084,"No evidence against proportional hazards"
"0 to 2 years","Molecular subtype",5.48278155006457,5,0.359837640864283,"No evidence against proportional hazards"
"0 to 2 years","Global model",10.2210377751972,10,0.421319722627969,"No evidence against proportional hazards"
"2 to 5 years","Age spline",1.5260226026852,3,0.676277481422521,"No evidence against proportional hazards"
"2 to 5 years","NPI spline",0.713525898638156,2,0.69993839894441,"No evidence against proportional hazards"
"2 to 5 years","Molecular subtype",13.9005915810091,5,0.0162533555424047,"Evidence against proportional hazards"
"2 to 5 years","Global model",15.9074561816621,10,0.102312396168288,"No evidence against proportional hazards"
"5 to 10 years","Age spline",12.1781170038246,3,0.00679725877986252,"Evidence against proportional hazards"
"5 to 10 years","NPI spline",0.418586745737403,2,0.811157229209502,"No evidence against proportional hazards"
"5 to 10 years","Molecular subtype",2.83333079843377,5,0.725662564508275,"No evidence against proportional hazards"
"5 to 10 years","Global model",15.6231316558354,10,0.110940919683797,"No evidence against proportional hazards"
"Beyond 10 years","Age spline",7.5358294066358,3,0.056644952916361,"No evidence against proportional hazards"
"Beyond 10 years","NPI spline",0.0348359392920438,2,0.982732846282016,"No evidence against proportional hazards"
"Beyond 10 years","Molecular subtype",6.64683610564637,5,0.248257914347468,"No evidence against proportional hazards"
"Beyond 10 years","Global model",17.1914452832542,10,0.0702336744977332,"No evidence against proportional hazards"
