"interval","molecular_subtype","participants_at_risk","rfs_events"
"0 to 2 years","Luminal A",697,41
"0 to 2 years","Luminal B",469,51
"0 to 2 years","HER2-enriched",224,44
"0 to 2 years","Basal-like",209,58
"0 to 2 years","Normal-like",146,15
"0 to 2 years","Claudin-low",215,27
"2 to 5 years","Luminal A",645,64
"2 to 5 years","Luminal B",404,82
"2 to 5 years","HER2-enriched",173,41
"2 to 5 years","Basal-like",148,26
"2 to 5 years","Normal-like",127,20
"2 to 5 years","Claudin-low",181,16
"5 to 10 years","Luminal A",534,62
"5 to 10 years","Luminal B",298,59
"5 to 10 years","HER2-enriched",126,23
"5 to 10 years","Basal-like",116,5
"5 to 10 years","Normal-like",102,18
"5 to 10 years","Claudin-low",156,13
"Beyond 10 years","Luminal A",338,62
"Beyond 10 years","Luminal B",171,29
"Beyond 10 years","HER2-enriched",77,8
"Beyond 10 years","Basal-like",79,4
"Beyond 10 years","Normal-like",61,10
"Beyond 10 years","Claudin-low",101,12
