"interval","term","comparison","log_hazard_ratio","standard_error","hazard_ratio","lower_95_ci","upper_95_ci","z_statistic","p_value"
"0 to 2 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",0.485522806834463,0.214466107151616,1.62502436064333,1.06734788652935,2.47408010641304,2.26386729951332,0.0235822777266878
"0 to 2 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.893009505990278,0.227992953122199,2.44246922727186,1.56228818078608,3.81853745009343,3.91682941845859,8.97211870505676e-05
"0 to 2 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",1.22222308564042,0.222160865797272,3.39472611816594,2.1963475802031,5.24696797593956,5.5015228773718,3.76524744742148e-08
"0 to 2 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",0.632198360639827,0.306432225873659,1.88174278483359,1.03210688684983,3.43080348885266,2.06309358892456,0.0391037371778631
"0 to 2 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.657548163661827,0.257283832899902,1.93005435100319,1.16565261809058,3.19572893331493,2.55573059624641,0.0105965123951359
"2 to 5 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",0.671121104270017,0.171896872375953,1.95642945301561,1.39683564575003,2.7402051317009,3.90420776709781,9.45345435638235e-05
"2 to 5 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.709085604874898,0.208321602988409,2.03213223702503,1.35091584455919,3.05686060711195,3.40380255673412,0.000664547705367835
"2 to 5 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.292768639936281,0.244794556232734,1.34013270137477,0.829427252274514,2.16529617560678,1.19597692220711,0.231705565018605
"2 to 5 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",0.469239196266427,0.260866161857613,1.59877737460023,0.958822714875997,2.66586205549394,1.79877371953879,0.0720544821079285
"2 to 5 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",-0.313556757387601,0.284876620241039,0.730842897092827,0.418154342952317,1.2773545204861,-1.1006756438008,0.271037850335414
"5 to 10 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",0.473616534965955,0.186865575390946,1.6057911042098,1.11334248377839,2.31605737491339,2.53453068589594,0.0112598064825399
"5 to 10 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.375103135393553,0.249933988277806,1.45514148346894,0.891581452529691,2.374922370698,1.50080882547523,0.13340501534278
"5 to 10 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",-1.1073874688538,0.47027937214065,0.330421069778079,0.131451396911411,0.830558563229783,-2.35474387025125,0.0185354767594544
"5 to 10 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",0.55365593782588,0.273557389602049,1.73960128049313,1.01764721050745,2.97373449644135,2.02391146746684,0.0429792618162584
"5 to 10 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",-0.344503164670698,0.311619987543631,0.70857230978526,0.384709368368806,1.30507536201484,-1.10552332469515,0.268932893317103
"Beyond 10 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",0.0497418086198841,0.231963743342024,1.05099970227809,0.667044329637333,1.65596246772564,0.214437859569033,0.830205620581847
"Beyond 10 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",-0.825018063990245,0.380974465716893,0.43822707626382,0.207688836897583,0.924666791145047,-2.16554687579331,0.0303458296606803
"Beyond 10 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",-1.60926318620996,0.532403315307317,0.200034948297931,0.0704568714063912,0.567921619876611,-3.02263930359084,0.00250580721290728
"Beyond 10 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",-0.045024289616013,0.351910102705332,0.955974261303367,0.479622752338996,1.9054283472119,-0.127942588944977,0.898194406881389
"Beyond 10 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",-0.74846223703881,0.333813072306745,0.473093499322437,0.245926188129162,0.910100143477188,-2.24215975685649,0.0249510490356954
