"molecular_subtype","time_years","n_risk","rfs_probability","lower_95_ci","upper_95_ci"
"Luminal A",5,534,0.844863415054025,0.815284058263442,0.870087754728862
"Luminal A",10,338,0.733958818290503,0.696903946087582,0.767260317679804
"Luminal B",5,298,0.703756143256607,0.659057071314952,0.743765401728629
"Luminal B",10,171,0.546137581264102,0.496224847801391,0.593242912638593
"HER2-enriched",5,126,0.608644327360664,0.540216669039283,0.670081346447444
"HER2-enriched",10,77,0.489738755166077,0.41986181023631,0.555856191339049
"Basal-like",5,116,0.591215499459242,0.520578321586541,0.654990290872194
"Basal-like",10,79,0.563207938139891,0.491830985872961,0.628467338307175
"Normal-like",5,102,0.750820741692811,0.670412014338639,0.814319362777713
"Normal-like",10,61,0.605475086392194,0.516138224118228,0.683427022368047
"Claudin-low",5,156,0.79338919351231,0.731679124636935,0.842437341406168
"Claudin-low",10,101,0.715606909869836,0.645809336655394,0.774076187143422
