"analysis","interval","molecular_subtype","participants_at_risk","rfs_events"
"2-to-5-year midpoint split","2 to 3.5 years","Luminal A",645,36
"2-to-5-year midpoint split","2 to 3.5 years","Luminal B",404,56
"2-to-5-year midpoint split","2 to 3.5 years","HER2-enriched",173,33
"2-to-5-year midpoint split","2 to 3.5 years","Basal-like",148,20
"2-to-5-year midpoint split","2 to 3.5 years","Normal-like",127,9
"2-to-5-year midpoint split","2 to 3.5 years","Claudin-low",181,8
"2-to-5-year midpoint split","3.5 to 5 years","Luminal A",593,28
"2-to-5-year midpoint split","3.5 to 5 years","Luminal B",337,26
"2-to-5-year midpoint split","3.5 to 5 years","HER2-enriched",138,8
"2-to-5-year midpoint split","3.5 to 5 years","Basal-like",125,6
"2-to-5-year midpoint split","3.5 to 5 years","Normal-like",114,11
"2-to-5-year midpoint split","3.5 to 5 years","Claudin-low",169,8
