"analysis","interval","term","comparison","hazard_ratio","lower_95_ci","upper_95_ci","p_value","primary_2_to_5_hazard_ratio","primary_2_to_5_lower_95_ci","primary_2_to_5_upper_95_ci"
"2-to-5-year midpoint split","2 to 3.5 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",2.3192687031583,1.50633742883738,3.5709179195004,0.000133172176639061,1.95642945301561,1.39683564575003,2.7402051317009
"2-to-5-year midpoint split","2 to 3.5 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",2.91704270925843,1.78076287084297,4.77836679265992,2.12260981295248e-05,2.03213223702503,1.35091584455919,3.05686060711195
"2-to-5-year midpoint split","2 to 3.5 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",1.88014607400642,1.05594793538817,3.34765488063793,0.031959914667337,1.34013270137477,0.829427252274514,2.16529617560678
"2-to-5-year midpoint split","2 to 3.5 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",1.27809944766365,0.609635259462088,2.67953366010929,0.515910443787882,1.59877737460023,0.958822714875997,2.66586205549394
"2-to-5-year midpoint split","2 to 3.5 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.665028514506704,0.305364353577916,1.44831222087665,0.304311574900969,0.730842897092827,0.418154342952317,1.2773545204861
"2-to-5-year midpoint split","3.5 to 5 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",1.48698618506188,0.858459466060384,2.57569285677765,0.156927735066798,1.95642945301561,1.39683564575003,2.7402051317009
"2-to-5-year midpoint split","3.5 to 5 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.894815421558095,0.39894269644118,2.00704172754857,0.78742673759018,2.03213223702503,1.35091584455919,3.05686060711195
"2-to-5-year midpoint split","3.5 to 5 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.665329259356923,0.264829765973105,1.67150026255503,0.385967612133413,1.34013270137477,0.829427252274514,2.16529617560678
"2-to-5-year midpoint split","3.5 to 5 years","molecular_subtypeNormal-like","Normal-like vs Luminal A",2.00446756162336,0.97953610005394,4.10182963688529,0.0569923182412144,1.59877737460023,0.958822714875997,2.66586205549394
"2-to-5-year midpoint split","3.5 to 5 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.802170563683174,0.358694419123506,1.79394375527827,0.591406604555506,0.730842897092827,0.418154342952317,1.2773545204861
